页面,元素,文件名,x,y,w,h,画布宽,画布高
01_首页,01_状态栏,01_状态栏.png,0,40,1152,85,1152,2048
01_首页,02_导航栏,02_导航栏.png,0,132,1152,100,1152,2048
01_首页,03_问候区,03_问候区.png,0,262,1152,215,1152,2048
01_首页,04_今日打卡卡,04_今日打卡卡.png,108,478,940,322,1152,2048
01_首页,05_早餐卡,05_早餐卡.png,112,805,305,350,1152,2048
01_首页,06_午餐卡,06_午餐卡.png,424,805,305,350,1152,2048
01_首页,07_晚餐卡,07_晚餐卡.png,736,805,308,350,1152,2048
01_首页,08_运动放纵餐卡,08_运动放纵餐卡.png,108,1160,940,372,1152,2048
01_首页,09_小贴士标题,09_小贴士标题.png,110,1550,940,75,1152,2048
01_首页,10_小贴士_多喝水,10_小贴士_多喝水.png,108,1625,360,165,1152,2048
01_首页,11_小贴士_睡饱觉,11_小贴士_睡饱觉.png,678,1625,360,165,1152,2048
01_首页,12_Tab栏,12_Tab栏.png,0,1870,1152,175,1152,2048
02_记录,01_状态栏,01_状态栏.png,0,40,1152,85,1152,2048
02_记录,02_导航栏,02_导航栏.png,0,130,1152,100,1152,2048
02_记录,03_当前体重卡,03_当前体重卡.png,95,288,965,295,1152,2048
02_记录,04_BMI小卡,04_BMI小卡.png,125,700,330,270,1152,2048
02_记录,05_连续打卡小卡,05_连续打卡小卡.png,670,700,390,270,1152,2048
02_记录,06_本周完成率卡,06_本周完成率卡.png,120,1048,920,350,1152,2048
02_记录,07_距目标体重卡,07_距目标体重卡.png,115,1453,440,300,1152,2048
02_记录,08_预计进度卡,08_预计进度卡.png,600,1453,445,300,1152,2048
02_记录,09_Tab栏,09_Tab栏.png,0,1858,1152,188,1152,2048
03_数据,01_状态栏,01_状态栏.png,0,40,1152,85,1152,2048
03_数据,02_导航栏,02_导航栏.png,0,130,1152,100,1152,2048
03_数据,03_周月切换,03_周月切换.png,530,272,510,125,1152,2048
03_数据,04_BMI数据卡,04_BMI数据卡.png,145,482,905,250,1152,2048
03_数据,05_体脂率卡,05_体脂率卡.png,145,817,905,245,1152,2048
03_数据,06_BMI趋势卡,06_BMI趋势卡.png,145,1138,905,370,1152,2048
03_数据,07_体重趋势卡,07_体重趋势卡.png,145,1548,905,248,1152,2048
03_数据,08_Tab栏,08_Tab栏.png,0,1858,1152,188,1152,2048
04_我的,01_状态栏,01_状态栏.png,0,40,1152,85,1152,2048
04_我的,02_导航栏,02_导航栏.png,0,130,1152,100,1152,2048
04_我的,03_用户信息卡,03_用户信息卡.png,95,258,965,225,1152,2048
04_我的,04_距目标进度卡,04_距目标进度卡.png,95,495,965,312,1152,2048
04_我的,05_个人信息卡,05_个人信息卡.png,145,860,905,385,1152,2048
04_我的,06_身体数据卡,06_身体数据卡.png,145,1355,905,255,1152,2048
04_我的,07_目标海报卡,07_目标海报卡.png,145,1640,905,205,1152,2048
04_我的,08_Tab栏,08_Tab栏.png,0,1858,1152,188,1152,2048
05_海报,01_状态栏,01_状态栏.png,0,40,1152,85,1152,2048
05_海报,02_导航栏,02_导航栏.png,0,130,1152,100,1152,2048
05_海报,03_海报卡,03_海报卡.png,30,250,1092,1330,1152,2048
05_海报,04_微信好友按钮,04_微信好友按钮.png,295,1650,210,95,1152,2048
05_海报,05_朋友圈按钮,05_朋友圈按钮.png,730,1650,210,95,1152,2048
05_海报,06_提示文字,06_提示文字.png,0,1875,1152,95,1152,2048
